"Seattle-Bellevue-Everett, WA MD",,,,,,,
2012 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish Counties,,,,,,,
,,,,,,,
,,,,,,,
SOC,,Estimated,Average,,Percentiles,,Annual
45-2041,"Graders & Sorters, Agricultural Products",,$10.16,$9.09,$9.41,$10.65,"$21,124"
27-1024,Graphic Designers,"2,590",$28.01,$20.36,$26.15,$34.57,"$58,262"
51-4033,Grind/Lap/Polish/Buff Machine Setters/Ops/Tenders,344,$17.53,$12.85,$15.83,$19.15,"$36,471"
51-9022,"Grinding & Polishing Wkrs, Hand",212,$15.09,$12.26,$14.71,$17.31,"$31,381"
37-3019,"Grounds Maintenance Wkrs, All Other",,$16.92,$13.14,$14.32,$19.83,"$35,195"
39-5012,"Hairdressers, Hairstylists, & Cosmetologists","4,991",$18.28,$10.86,$15.55,$22.65,"$38,023"
53-1021,"Hand Labor/Material Movers/Helpers, 1st-Ln Spvrs/Mgrs","1,611",$23.93,$18.00,$23.32,$28.51,"$49,793"
47-4041,Hazardous Materials Removal Wkrs,679,$24.30,$17.36,$22.10,$32.21,"$50,548"
17-2111,Health & Safety Engineers (Not Mining),181,$43.50,$35.11,$41.64,$51.47,"$90,471"
29-1199,"Health Diagnosing & Treating Practitioners, A/O",338,$31.67,$21.38,$30.83,$41.72,"$65,871"
21-1091,Health Educators,588,$22.68,$16.78,$20.36,$26.44,"$47,179"
29-2799,"Health Technologists & Technicians, All Other","1,666",$23.65,$17.74,$22.18,$28.52,"$49,200"
29-9799,"Healthcare Practitioners & Technical Workers, All Other",419,$30.06,$23.36,$28.52,$35.34,"$62,520"
31-9799,"Healthcare Support Workers, All Other",,$17.09,$13.57,$16.99,$20.32,"$35,546"
51-4191,"Heat Treating Equip Setters/Ops/Tenders, Mtl/Plastic",185,$20.41,$13.96,$19.04,$22.82,"$42,439"
49-9021,"Heating, Air Cond, Refrigeration Mechanics & Installers","1,741",$28.37,$21.75,$28.35,$34.74,"$59,021"
47-3019,"Helpers, Construction Trades, All Other",,$16.05,$12.48,$15.97,$18.79,"$33,396"
47-3012,Helpers--Carpenters,257,$19.76,$16.11,$20.10,$22.68,"$41,086"
47-3013,Helpers--Electricians,204,$18.55,$11.85,$15.06,$25.76,"$38,578"
49-9098,"Helpers--Installation, Maintenance, & Repair Wkrs","1,057",$16.10,$12.41,$15.79,$20.11,"$33,492"
51-9198,Helpers--Production Wkrs,"1,537",$13.64,$10.67,$13.13,$15.76,"$28,375"
47-4051,Highway Maintenance Wkrs,,$24.09,$20.53,$24.50,$27.26,"$50,093"
19-3093,Historians,22,$30.62,$22.76,$29.97,$35.37,"$63,704"
25-1125,"History Teachers, Postsecondary",157,,,,,"$73,704"
49-9031,Home Appliance Repairers,240,$22.39,$18.29,$22.35,$26.60,"$46,562"
25-1192,"Home Economics Teachers, Postsecondary",35,,,,,"$53,446"
31-1011,Home Health Aides,"4,170",$11.85,$10.26,$11.20,$13.00,"$24,649"
35-9031,"Hosts & Hostesses, Restaurant, Lounge, & Coffee Shop","2,363",$10.95,$9.13,$9.47,$11.35,"$22,795"
43-4081,"Hotel, Motel, & Resort Desk Clerks","2,177",$12.27,$10.42,$12.05,$13.72,"$25,518"
37-1011,"Housekeeping/Janitorial Wkrs, 1st-Line Spvs/Mgrs","1,268",$20.54,$15.01,$18.65,$24.43,"$42,739"
13-1078,"HR, Labor Relations, & Training Spec, All Other","6,583",$32.92,$23.18,$30.20,$40.43,"$68,470"
43-4161,"Human Resources Assistants, Not Payroll & Timekeeping","1,316",$20.09,$16.96,$19.96,$22.70,"$41,769"
11-3121,Human Resources Managers,"1,706",$54.89,$40.82,$52.30,$66.32,"$114,161"
19-2043,Hydrologists,189,$42.15,$32.98,$39.90,$50.74,"$87,666"
49-9041,Industrial Machinery Mechanics,"2,033",$30.10,$24.84,$30.53,$35.92,"$62,607"
11-3051,Industrial Production Mgrs,"1,368",$53.38,$40.59,$52.04,$64.46,"$111,025"
53-7051,Industrial Truck & Tractor Operators,"3,875",$20.04,$15.07,$18.54,$23.61,"$41,684"
15-1179,"Info Security Analyst, Web Dvlpr, & Cptr Netwk Architect","7,840",$42.87,$34.04,$42.42,$51.83,"$89,181"
43-4199,"Information & Record Clerks, All Other",,$19.37,$16.09,$18.97,$22.40,"$40,273"
51-9061,"Inspectors, Testers, Sorters, Samplers, & Weighers","5,424",$26.19,$19.70,$28.65,$33.21,"$54,486"
49-9799,"Installation, Maintenance, & Repair Workers, All Other","1,081",$24.69,$17.62,$24.30,$30.15,"$51,349"
25-9031,Instructional Coordinators,"1,075",$30.77,$25.56,$30.48,$35.53,"$63,999"
47-2131,"Insulation Wkrs, Floor, Ceiling, & Wall",630,$23.51,$18.53,$21.56,$26.28,"$48,908"
47-2132,"Insulation Wkrs, Mechanical",541,$28.79,$23.09,$28.39,$35.20,"$59,891"
43-9041,Insurance Claims & Policy Processing Clerks,"3,275",$19.78,$16.53,$19.87,$22.56,"$41,137"
41-3021,Insurance Sales Agents,"2,946",$30.59,$19.97,$26.05,$35.28,"$63,620"
13-2053,Insurance Underwriters,"1,168",$41.68,$32.05,$39.54,$49.08,"$86,688"
27-1025,Interior Designers,748,$26.74,$20.37,$23.83,$33.15,"$55,626"
29-1063,"Internists, General",,$87.40,$65.09,$79.98,,"$181,797"
27-3091,Interpreters & Translators,637,$24.19,$19.19,$22.68,$28.27,"$50,319"
43-4111,"Interviewers, Not Eligibility & Loan","2,228",$15.80,$11.27,$16.49,$19.22,"$32,851"
37-2011,"Janitors & Cleaners, Not Maids & Housekeeping Cleaners","15,507",$14.52,$10.81,$13.82,$17.57,"$30,196"
51-9071,Jewelers & Precious Stone & Metal Wkrs,174,$20.60,$15.03,$18.88,$24.59,"$42,840"
23-1023,"Judges, Magistrate Judges, & Magistrates",272,,,,,
23-1012,Judicial Law Clerks,,$28.45,$23.43,$23.94,$32.33,"$59,173"
25-2012,"Kindergarten Teachers, Not Special Education","1,186",,,,,"$53,553"
53-7062,"Laborers & Freight, Stock, & Material Movers, Hand","19,533",$15.90,$11.00,$14.02,$18.53,"$33,084"
17-1012,Landscape Architects,542,$29.72,$22.73,$28.66,$36.06,"$61,832"
37-1012,"Landscape, Lawn, Groundskeep Wkrs, 1st-Line Supvrs/Mgrs ",975,$24.91,$18.74,$24.46,$28.68,"$51,810"
37-3011,Landscaping & Groundskeeping Wkrs,"8,045",$15.79,$12.75,$15.09,$17.89,"$32,861"
51-4034,"Lathe Setters/Ops/Tenders, Metal/Plastic",,$19.91,$13.06,$20.47,$26.12,"$41,409"
51-6011,Laundry & Dry-Cleaning Wkrs,"1,009",$12.13,$9.85,$11.46,$14.00,"$25,232"
25-1112,"Law Teachers, Postsecondary",152,,,,,"$102,127"
23-1011,Lawyers,"7,069",$59.80,$38.40,$53.68,$72.53,"$124,379"
51-4192,"Lay-Out Wkrs, Metal & Plastic",,$18.10,$10.13,$12.08,$24.34,"$37,649"
43-6012,Legal Secretaries,"1,756",$25.28,$20.35,$25.00,$29.97,"$52,583"
23-2099,"Legal Support Wkrs, All Other",,$30.62,$24.21,$27.70,$36.57,"$63,704"
11-1031,Legislators,204,,,,,"$92,384"
25-4021,Librarians,"1,796",$31.23,$25.96,$31.95,$36.23,"$64,954"
43-4121,"Library Assistants, Clerical",,$16.25,$12.89,$16.40,$19.89,"$33,798"
25-1082,"Library Science Teachers, Postsecondary",76,,,,,"$83,784"
25-4031,Library Technicians,681,$19.75,$16.19,$19.17,$22.94,"$41,085"
29-2061,Licensed Practical & Licensed Vocational Nurses,"3,159",$24.48,$21.59,$24.48,$27.48,"$50,926"
19-1099,"Life Scientists, All Other",,$53.11,$35.53,$47.32,$71.81,"$110,468"
19-4099,"Life, Physical, & Social Science Technicians, A/O",,$24.30,$20.05,$23.50,$28.16,"$50,557"
33-9092,"Lifeguards, Ski Patrol, Recreational Protective Svc Wkrs",955,$11.89,$9.75,$11.20,$13.61,"$24,737"
13-2071,Loan Counselors,320,$19.04,$16.34,$18.25,$21.36,"$39,607"
43-4131,Loan Interviewers & Clerks,"2,054",$18.10,$13.33,$17.93,$22.17,"$37,638"
13-2072,Loan Officers,"2,951",$40.64,$24.81,$33.55,$46.32,"$84,529"
39-3093,"Locker Room, Coatroom, & Dressing Room Attendants",,$10.94,$9.23,$9.82,$12.28,"$22,762"
49-9094,Locksmiths & Safe Repairers,161,$21.17,$15.64,$22.82,$27.15,"$44,035"
11-9081,Lodging Mgrs,188,$35.10,$26.99,$33.62,$41.49,"$73,007"
45-4022,Logging Equipment Operators,,$29.47,$21.64,$27.22,$34.00,"$61,306"
13-1081,Logisticians,,$40.40,$31.78,$38.29,$45.74,"$84,033"
53-7063,Machine Feeders & Offbearers,455,$14.67,$11.74,$14.80,$17.37,"$30,502"
51-4041,Machinists,"2,386",$26.44,$20.25,$24.79,$32.71,"$54,985"
37-2012,Maids & Housekeeping Cleaners,"6,872",$12.28,$9.79,$11.64,$14.11,"$25,548"
43-9051,"Mail Clerks & Mail Machine Ops, Not Postal Svc","1,032",$14.64,$10.77,$13.55,$17.86,"$30,454"
49-9071,"Maintenance & Repair Workers, General","10,918",$20.74,$15.77,$19.76,$25.81,"$43,142"
49-9043,"Maintenance Wkrs, Machinery",408,$23.56,$20.06,$23.23,$28.10,"$49,002"
13-1111,Management Analysts,"8,387",$44.89,$32.04,$41.82,$54.32,"$93,390"
39-5092,Manicurists & Pedicurists,"1,274",$12.65,$9.94,$10.84,$15.25,"$26,308"
17-2121,Marine Engineers & Naval Architects,289,$42.19,$34.87,$41.19,$47.02,"$87,768"
13-1161,Market Research Analysts,"7,890",$40.65,$26.95,$39.87,$53.50,"$84,555"
11-2021,Marketing Mgrs,"5,040",$64.07,$47.76,$61.04,$76.27,"$133,260"
21-1013,Marriage & Family Therapists,256,$19.93,$16.26,$18.71,$23.09,"$41,438"
31-9011,Massage Therapists,"1,649",$25.25,$19.11,$25.19,$31.63,"$52,522"
25-1022,"Mathematical Science Teachers, Postsecondary",332,,,,,"$86,403"
15-2099,"Mathematical Scientists, All Other",,$22.21,$20.46,$21.90,$23.34,"$46,190"
15-2091,Mathematical Technicians,,$22.68,$19.10,$20.80,$22.50,"$47,185"
15-2021,Mathematicians,,$44.80,$31.44,$40.15,$62.75,"$93,185"
51-3022,"Meat, Poultry, & Fish Cutters & Trimmers","1,323",$14.86,$9.94,$12.65,$18.74,"$30,915"
49-9011,Mechanical Door Repairers,195,$20.91,$16.10,$21.26,$25.90,"$43,495"
17-3013,Mechanical Drafters,"1,983",$35.82,$29.69,$36.20,$42.60,"$74,512"
17-3027,Mechanical Engineering Technicians,613,$28.36,$23.72,$27.89,$33.28,"$58,998"
17-2141,Mechanical Engineers,"3,151",$44.40,$35.49,$43.16,$52.71,"$92,351"
49-1011,"Mechanics, Installers, Repairers, 1st-Ln Sprvs/Mgrs","3,871",$34.49,$26.85,$33.02,$41.07,"$71,742"
27-4099,"Media & Communication Equipment Wkrs, All Other",109,$30.04,$16.51,$28.78,$41.72,"$62,485"
27-3099,"Media & Communication Wkrs, All Other",803,$23.64,$14.90,$24.97,$28.70,"$49,173"
29-2012,Medical & Clinical Laboratory Technicians,"1,068",$21.26,$16.85,$20.02,$23.91,"$44,228"
29-2011,Medical & Clinical Laboratory Technologists,"1,543",$30.87,$26.52,$31.15,$35.15,"$64,207"
11-9111,Medical & Health Svcs Mgrs,,$55.88,$40.92,$50.91,$63.41,"$116,222"
21-1022,Medical & Public Health Social Wkrs,"1,367",$28.38,$23.03,$28.35,$33.75,"$59,031"
51-9082,Medical Appliance Technicians,,$19.34,$17.57,$19.97,$21.84,"$40,230"
31-9092,Medical Assistants,"5,689",$18.10,$15.89,$17.65,$20.25,"$37,640"
31-9093,Medical Equipment Preparers,957,$16.32,$13.00,$16.37,$18.81,"$33,936"
49-9062,Medical Equipment Repairers,596,$24.53,$18.11,$24.39,$30.92,"$51,014"
29-2071,Medical Records & Health Information Technicians,"2,201",$20.19,$15.96,$18.73,$23.47,"$41,999"
19-1042,"Medical Scientists, Not Epidemiologists","3,991",$36.09,$23.12,$29.98,$41.85,"$75,073"
43-6013,Medical Secretaries,"7,370",$20.57,$17.29,$20.30,$23.67,"$42,793"
31-9094,Medical Transcriptionists,888,$17.22,$10.52,$18.32,$21.75,"$35,824"
13-1121,Meeting & Convention Planners,794,$23.53,$18.63,$21.74,$27.59,"$48,946"
21-1023,Mental Health & Substance Abuse Social Wkrs,,$23.53,$18.78,$24.42,$27.60,"$48,941"
21-1014,Mental Health Counselors,"1,700",$21.84,$17.21,$20.95,$25.82,"$45,433"
27-1026,Merchandise Displayers & Window Trimmers,949,$16.55,$13.30,$16.08,$19.42,"$34,439"
51-4199,"Metal Wkrs & Plastic Wkrs, All Other",278,$18.51,$12.68,$17.06,$22.91,"$38,492"
51-4051,Metal-Refining Furnace Operators & Tenders,,$31.03,$18.47,$37.85,$42.10,"$64,543"
43-5041,"Meter Readers, Utilities",188,$24.60,$20.97,$23.46,$27.53,"$51,161"
11-9199,"Mgrs, All Other","4,583",$52.70,$41.36,$51.56,$62.52,"$109,631"
19-1022,Microbiologists,250,$32.26,$23.13,$28.92,$38.80,"$67,121"
25-2022,Middle School Teachers (Not Special Ed & Vocational),"3,675",,,,,"$59,879"
51-4035,"Milling/Planing Mach Setters, Ops/Tenders, Mtl/Plastic",,$26.61,$19.02,$29.61,$33.36,"$55,353"
49-9044,Millwrights,708,$35.23,$31.69,$35.26,$39.97,"$73,266"
17-2151,Mining & Geological Engineers (Inc Mining Safety),18,$43.70,$37.72,$42.39,$48.07,"$90,893"
51-9023,"Mixing & Blending Machine Setters, Ops, & Tenders",445,$18.17,$12.94,$16.69,$22.32,"$37,797"
49-3042,"Mobile Heavy Equipment Mechanics, Not Engines","1,085",$28.84,$23.34,$27.95,$34.59,"$59,987"
51-4061,"Model Makers, Metal & Plastic",,$29.17,$25.16,$30.55,$34.60,"$60,663"
51-4072,"Mold/Coremaking/Casting Mach Set/Op/Tend, Mtl/Plastic",390,$16.01,$12.36,$14.68,$18.92,"$33,306"
51-9195,"Molders, Shapers, & Casters, Not Metal & Plastic",356,$17.00,$12.70,$16.39,$21.12,"$35,340"
53-3099,"Motor Vehicle Operators, All Other",,$17.32,$10.18,$14.26,$25.12,"$36,023"
49-3051,Motorboat Mechanics,345,$20.12,$11.92,$16.91,$23.22,"$41,837"
53-5022,Motorboat Operators,,$30.27,$27.28,$28.94,$31.77,"$62,971"
49-3052,Motorcycle Mechanics,,$21.80,$18.91,$22.06,$25.74,"$45,338"
27-1014,Multi-Media Artists & Animators,"2,090",$32.92,$21.93,$29.65,$42.50,"$68,485"
51-4081,"Multiple Machine Tool Setters/Ops/Tenders, Mtl/Plastic",264,,,,,
25-4013,Museum Technicians & Conservators,199,$21.62,$17.35,$20.71,$23.14,"$44,969"
27-2041,Music Directors & Composers,64,$35.03,$21.82,$28.82,$36.77,"$72,854"
49-9063,Musical Instrument Repairers & Tuners,,$14.67,$12.17,$14.45,$17.12,"$30,524"
27-2042,Musicians & Singers,468,$31.37,$18.03,$30.42,$42.30,
11-9121,Natural Sciences Mgrs,894,$64.72,$47.99,$59.72,$75.07,"$134,621"
15-1142,Network & Computer Systems Administrators,"5,221",$37.96,$30.60,$37.12,$44.71,"$78,953"
43-4141,New Accounts Clerks,404,$18.14,$15.67,$17.65,$20.32,"$37,719"
39-2021,Nonfarm Animal Caretakers,"1,515",$12.13,$9.58,$10.96,$12.95,"$25,228"
41-1012,"Non-Retail Sales Wkrs, 1st-Line spvrs/Mgrs of","3,799",$40.93,$27.84,$37.77,$52.86,"$85,153"
29-2033,Nuclear Medicine Technologists,166,$41.82,$36.96,$42.26,$47.55,"$86,980"
51-4012,Numerical Tool & Process Control Programmers,682,$33.27,$29.64,$33.45,$38.10,"$69,192"
31-1012,"Nursing Aides, Orderlies, & Attendants","9,041",$14.93,$12.56,$14.33,$17.10,"$31,039"
25-1072,"Nursing Instructors & Teachers, Postsecondary",543,,,,,"$72,693"
29-1064,Obstetricians & Gynecologists,,$119.94,,,,"$249,483"
29-9011,Occupational Health & Safety Specialists,658,$36.16,$29.82,$35.25,$42.78,"$75,228"
29-9012,Occupational Health & Safety Technicians,40,$24.22,$19.58,$24.56,$30.09,"$50,384"
31-2012,Occupational Therapist Aides,,$18.49,$14.95,$19.58,$22.07,"$38,467"
31-2011,Occupational Therapist Assistants,174,$27.52,$23.99,$27.15,$31.23,"$57,232"
29-1122,Occupational Therapists,897,$36.21,$31.45,$37.52,$42.17,"$75,313"
43-1011,"Office & Admin Support Wkrs, 1st-Line spvrs/Mgrs of","12,182",$28.38,$21.51,$27.15,$33.94,"$59,034"
43-9799,"Office & Administrative Support Workers, All Other","4,244",$18.06,$14.61,$17.87,$21.35,"$37,566"
43-9061,"Office Clerks, General","21,102",$16.33,$12.51,$15.46,$18.97,"$33,976"
43-9071,"Office Machine Operators, Not Computer",629,$15.65,$11.23,$15.11,$19.87,"$32,550"
47-2073,Operating Engineers/Construction Equipment Ops,"1,900",$29.79,$24.18,$30.80,$35.13,"$61,945"
15-2031,Operations Research Analysts,,$42.85,$35.08,$41.51,$48.20,"$89,136"
51-9083,Ophthalmic Laboratory Technicians,440,$19.26,$16.65,$20.26,$22.13,"$40,052"
29-2081,"Opticians, Dispensing",514,$25.94,$20.95,$24.30,$27.54,"$53,968"
29-1041,Optometrists,,$53.26,$49.08,$53.03,$56.98,"$110,793"
43-4151,Order Clerks,"4,308",$18.14,$13.81,$17.54,$22.04,"$37,737"
29-2091,Orthotists & Prosthetists,,$32.67,$23.18,$29.93,$42.23,"$67,948"
49-3053,Outdoor Power Equipment & Other Small Engine Mechanics,,$17.90,$14.79,$16.98,$19.03,"$37,237"
51-9111,Packaging & Filling Machine Operators & Tenders,"1,200",$16.30,$11.68,$14.46,$19.71,"$33,903"
53-7064,"Packers & Packagers, Hand","6,856",$11.97,$9.23,$9.72,$13.38,"$24,888"
47-3014,"Painter, Paperhanger, Plasterer, Stucco Helpers",,$14.21,$12.84,$13.85,$14.85,"$29,559"
47-2141,"Painters, Construction & Maintenance","3,291",$19.66,$15.93,$18.22,$24.04,"$40,889"
51-9122,"Painters, Transportation Equipment",981,$26.04,$18.36,$28.05,$33.14,"$54,161"
51-9123,"Painting, Coating, & Decorating Wkrs",283,$16.86,$12.74,$14.86,$20.25,"$35,071"
51-9196,"Paper Goods Machine Setters, Operators, & Tenders",432,$18.69,$12.57,$17.19,$22.54,"$38,878"
23-2011,Paralegals & Legal Assistants,"3,965",$25.78,$18.15,$24.72,$31.86,"$53,619"
53-6021,Parking Lot Attendants,"2,676",$12.27,$10.15,$11.27,$13.82,"$25,525"
41-2022,Parts Salespersons,"1,936",$17.33,$13.50,$17.42,$20.91,"$36,065"
47-2071,"Paving, Surfacing, & Tamping Equipment Operators",275,$20.26,$13.81,$18.53,$26.48,"$42,134"
43-3051,Payroll & Timekeeping Clerks,"1,531",$22.51,$19.38,$21.99,$26.02,"$46,826"
29-1065,"Pediatricians, General",489,$81.11,$64.62,$73.97,,"$168,705"
39-9021,Personal & Home Care Aides,"8,995",$11.44,$10.24,$11.11,$12.18,"$23,787"
39-9099,"Personal Care & Svc Wkrs, All Other",454,$13.46,$11.90,$13.18,$14.37,"$27,987"
13-2052,Personal Financial Advisors,"2,105",$34.81,$20.94,$29.04,$42.04,"$72,404"
39-1021,"Personal Svc Wkrs, 1st-Line Supervisors/Mgrs of","2,018",$21.85,$15.92,$21.22,$26.72,"$45,447"
37-2021,Pest Control Wkrs,252,$20.89,$15.29,$20.59,$25.52,"$43,451"
37-3012,"Pesticide Handlers, Sprayers, & Applicators, Vegetation",,$17.21,$12.99,$15.02,$21.43,"$35,786"
29-1051,Pharmacists,"2,717",$53.60,$49.80,$54.32,$59.19,"$111,495"
31-9095,Pharmacy Aides,258,$12.99,$10.69,$12.74,$14.41,"$27,015"
29-2052,Pharmacy Technicians,"3,181",$19.41,$16.87,$19.02,$21.89,"$40,371"
25-1126,"Philosophy & Religion Teachers, Postsecondary",328,,,,,"$62,236"
27-4021,Photographers,706,$20.63,$10.76,$19.53,$30.32,"$42,900"
51-9151,Photographic Process Wkrs & Processing Machine Ops,326,$17.50,$13.29,$16.14,$20.99,"$36,410"
29-1069,"Phys/Surgeons, A/O (Cardiologists, Dermatologists, etc)","2,527",$90.15,$57.15,,,"$187,513"
19-2099,"Physical Scientists, All Other",,$44.08,$34.81,$43.89,$53.78,"$91,688"
31-2022,Physical Therapist Aides,354,$13.56,$11.80,$13.39,$15.01,"$28,210"
31-2021,Physical Therapist Assistants,448,$26.97,$23.36,$27.16,$31.30,"$56,100"
29-1123,Physical Therapists,"1,881",$38.13,$32.79,$37.50,$43.43,"$79,305"
29-1071,Physician Assistants,"1,089",$50.39,$42.91,$50.37,$58.66,"$104,803"
19-2012,Physicists,387,$55.29,$35.33,$58.71,$72.07,"$115,012"
25-1054,"Physics Teachers, Postsecondary",181,,,,,"$88,027"
47-2072,Pile-Driver Operators,,$31.84,$30.79,$32.80,$34.79,"$66,231"
47-3015,"Pipelayer, Plumber, Pipefitter, Steamfitter Helpers",228,$14.82,$12.36,$14.00,$16.80,"$30,836"
47-2151,Pipelayers,423,$26.78,$23.21,$27.53,$32.09,"$55,691"
51-8099,"Plant & System Operators, All Other",67,$26.25,$23.61,$28.73,$32.23,"$54,608"
47-2161,Plasterers & Stucco Masons,,$23.78,$20.36,$24.26,$27.18,"$49,480"
51-4193,"Plating/Coating Machine Setters/Ops/Tenders, Mtl/Plastic",275,$16.13,$12.72,$14.69,$18.73,"$33,554"
47-2152,"Plumbers, Pipefitters, & Steamfitters","3,042",$32.06,$25.01,$31.95,$39.36,"$66,696"
29-1081,Podiatrists,64,$82.67,$63.32,$81.84,,"$171,965"
33-1012,"Police & Detectives, 1st-Line Supervisors/Mgrs of",775,$47.03,$39.71,$46.93,$54.29,"$97,821"
33-3051,Police & Sheriff's Patrol Officers,"3,283",$35.40,$31.15,$35.33,$41.32,"$73,631"
43-5031,"Police, Fire, & Ambulance Dispatchers",480,$25.49,$21.76,$25.14,$28.27,"$53,024"
25-1065,"Political Science Teachers, Postsecondary",224,,,,,"$83,761"
19-3094,Political Scientists,,$35.17,$25.43,$32.22,$35.82,"$73,165"
43-5051,Postal Svc Clerks,540,$25.62,$25.88,$25.89,$25.89,"$53,293"
43-5052,Postal Svc Mail Carriers,"2,577",$26.06,$25.57,$27.06,$27.07,"$54,205"
43-5053,Postal Svc Mail Sorters/Processors/Processing Mach Ops,"1,677",$25.29,$25.35,$25.88,$25.89,"$52,608"
11-9131,Postmasters & Mail Superintendents,45,$39.22,$32.80,$39.27,$46.90,"$81,578"
25-1199,"Postsecondary Teachers, All Other",579,,,,,"$76,503"
51-4052,"Pourers & Casters, Metal",29,$13.95,$12.46,$13.87,$15.96,"$29,022"
51-8012,Power Distributors & Dispatchers,123,$42.47,$34.69,$41.48,$50.82,"$88,328"
51-8013,Power Plant Operators,181,$39.20,$32.81,$37.95,$43.54,"$81,525"
49-9069,"Precision Instrument & Equipment Repairers, A/O",435,$31.25,$26.88,$32.08,$36.24,"$65,013"
51-5111,Prepress Technicians & Workers,,$18.81,$12.89,$18.17,$23.55,"$39,136"
25-2011,"Preschool Teachers, Not Special Education","3,000",$15.32,$12.79,$14.56,$17.33,"$31,860"
51-6021,"Pressers, Textile, Garment, & Related Materials",659,$14.30,$11.80,$14.68,$16.79,"$29,761"
51-5113,Print Binding & Finishing Workers,171,$16.06,$12.89,$15.61,$18.44,"$33,402"
51-5112,Printing Press Operators,853,$19.35,$14.86,$18.38,$23.30,"$40,259"
33-9021,Private Detectives & Investigators,182,$30.95,$25.66,$31.28,$35.36,"$64,387"
43-3061,Procurement Clerks,620,$19.39,$16.04,$19.37,$22.60,"$40,319"
27-2012,Producers & Directors,899,$37.10,$24.63,$33.51,$44.94,"$77,172"
51-1011,"Production & Operating Wkrs, 1st-Line spvrs/Mgrs of","4,375",$32.57,$24.56,$32.58,$40.92,"$67,747"
51-9399,"Production Workers, All Other","1,855",$18.06,$11.06,$14.41,$24.58,"$37,561"
43-5061,"Production, Planning, & Expediting Clerks","2,878",$24.84,$18.87,$23.11,$29.49,"$51,669"
43-9081,Proofreaders & Copy Markers,63,$19.63,$16.43,$18.74,$22.63,"$40,827"
11-9141,"Property, Real Estate, & Community Association Mgrs","2,508",$36.63,$24.20,$30.43,$45.15,"$76,185"
33-1099,"Protective Svc Wkrs A/O, 1st-Line spvrs/Mgrs of",791,$24.47,$13.84,$23.94,$33.61,"$50,916"
33-9099,"Protective Svc Wkrs, All Other",351,$22.55,$17.01,$22.99,$27.45,"$46,922"
31-1013,Psychiatric Aides,,$12.78,$10.71,$11.83,$14.06,"$26,597"
29-2053,Psychiatric Technicians,176,$21.97,$17.17,$20.98,$26.59,"$45,695"
29-1066,Psychiatrists,163,$81.67,$67.89,$80.60,,"$169,874"
19-3039,"Psychologists, All Other",175,$33.91,$21.95,$32.61,$46.77,"$70,520"
25-1066,"Psychology Teachers, Postsecondary",377,,,,,"$65,507"
27-3012,Public Address System & Other Announcers,88,$22.85,$9.60,$17.47,$34.26,"$47,545"
11-2031,Public Relations Mgrs,"1,282",$51.51,$38.67,$50.29,$62.85,"$107,138"
27-3031,Public Relations Specialists,"3,248",$29.53,$21.19,$27.63,$36.48,"$61,412"
13-1021,"Purchasing Agents & Buyers, Farm Products",124,$27.40,$22.30,$27.02,$32.47,"$56,993"
13-1023,Purchasing Agents (Not Wholesale/Retail/Farm Prodcts),"5,349",$34.77,$27.09,$34.54,$42.61,"$72,315"
11-3061,Purchasing Mgrs,"1,226",$55.05,$40.57,$53.05,$66.53,"$114,495"
29-1124,Radiation Therapists,,$47.69,$41.50,$47.59,$54.58,"$99,208"
27-3011,Radio & Television Announcers,245,$29.85,$12.40,$18.90,$36.67,"$62,088"
49-2021,Radio Mechanics,,$31.90,$23.92,$36.76,$41.86,"$66,355"
29-2037,Radiologic Technologists & Technicians,"1,975",$33.93,$28.70,$33.61,$39.53,"$70,567"
49-3043,Rail Car Repairers,,$24.08,$18.78,$23.98,$29.08,"$50,102"
41-9021,Real Estate Brokers,,$41.14,$20.92,$29.00,$54.27,"$85,572"
41-9022,Real Estate Sales Agents,"1,780",$23.23,$13.69,$19.27,$26.13,"$48,324"
43-4171,Receptionists & Information Clerks,"10,409",$14.67,$12.22,$14.32,$16.95,"$30,514"
25-1193,"Recreation & Fitness Studies Teachers, Postsecondary",120,,,,,"$50,399"
39-9032,Recreation Wkrs,"2,412",$14.06,$9.93,$12.29,$15.64,"$29,247"
29-1125,Recreational Therapists,120,$25.22,$17.68,$25.74,$32.70,"$52,461"
53-7081,Refuse & Recyclable Material Collectors,"1,067",$22.48,$19.59,$22.60,$26.39,"$46,761"
29-1111,Registered Nurses,"22,650",$38.17,$31.68,$38.50,$44.34,"$79,384"
21-1015,Rehabilitation Counselors,"3,443",$22.57,$16.91,$21.82,$26.79,"$46,935"
47-2171,Reinforcing Iron & Rebar Wkrs,,$35.13,$31.91,$36.10,$40.99,"$73,072"
21-2099,"Religious Wkrs, All Other",,$23.72,$19.76,$24.52,$29.63,"$49,351"
27-3022,Reporters & Correspondents,,$24.01,$13.25,$17.53,$30.01,"$49,935"
43-4181,Reservation/Transportation Ticket Agents/Travel Clerks,"1,444",$15.93,$12.70,$14.78,$19.67,"$33,131"
39-9041,Residential Advisors,403,$14.34,$11.19,$13.97,$17.09,"$29,823"
29-1126,Respiratory Therapists,702,$32.13,$27.54,$32.30,$36.33,"$66,839"
29-2054,Respiratory Therapy Technicians,54,$25.45,$18.56,$26.24,$32.30,"$52,933"
