"Seattle-Bellevue-Everett, WA MD",,,,,,,
2015 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish counties,,,,,,,
Index,,,,,,,
,,,,,,,
SOC,"Seattle-Bellevue-Everett, WA MD", Estimated ,Average,,Percentiles,,Annual
11-9051,Food Service Managers," 1,506 ",$26.78,$21.12,$25.81,$30.26,"$55,687"
51-3091,Food/Tobacco Roasting/Baking/Drying Mach Oprs/Tenders, 187 ,$17.34,$13.91,$16.46,$19.07,"$36,082"
25-1124,"Foreign Language & Literature Teachers, Postsecondary", 304 ,,,,,"$60,118"
19-4092,Forensic Science Technicians, 149 ,$31.36,$27.12,$31.94,$36.00,"$65,239"
45-4011,Forest & Conservation Workers, 95 ,$12.02,$9.43,$9.44,$9.44,"$25,010"
19-1032,Foresters, 56 ,$28.43,$23.14,$27.72,$33.17,"$59,135"
51-4071,Foundry Mold & Coremakers, 115 ,$14.70,$11.60,$14.01,$17.22,"$30,565"
13-1131,Fundraisers," 1,322 ",$27.19,$20.85,$25.22,$32.84,"$56,559"
39-4021,Funeral Attendants, 115 ,$12.66,$10.41,$11.43,$15.66,"$26,343"
11-9061,Funeral Service Managers, 41 ,$28.84,$23.22,$29.89,$34.46,"$59,986"
51-9051,Furnace/Kiln/Oven/Drier & Kettle Operators & Tenders, 191 ,$17.09,$12.22,$15.86,$20.99,"$35,543"
51-7021,Furniture Finishers, 204 ,$19.12,$14.54,$18.74,$23.82,"$39,787"
43-3041,Gaming Cage Workers, 213 ,$14.89,$13.01,$14.75,$17.06,"$30,962"
41-2012,Gaming Change Persons & Booth Cashiers,,$13.10,$10.29,$12.14,$15.65,"$27,243"
39-3011,Gaming Dealers," 2,827 ",$11.36,$9.53,$9.62,$11.10,"$23,646"
11-9071,Gaming Managers, 51 ,$40.05,$33.28,$36.19,$43.18,"$83,308"
39-3019,"Gaming Service Workers, All Other", 29 ,$16.91,$11.43,$16.48,$19.25,"$35,182"
39-1011,Gaming Supervisors, 335 ,$24.65,$19.65,$25.22,$28.99,"$51,266"
33-9031,Gaming Surveillance Officers & Gaming Investigators, 166 ,$15.32,$12.70,$14.10,$17.23,"$31,871"
51-8092,Gas Plant Operators, 112 ,$34.65,$32.16,$34.33,$36.51,"$72,062"
11-1021,General & Operations Managers," 18,081 ",$64.26,$40.24,$56.59,$80.17,"$133,651"
25-1064,"Geography Teachers, Postsecondary", 47 ,,,,,"$76,626"
19-2042,"Geoscientists, Except Hydrologists & Geographers", 700 ,$41.18,$29.79,$37.82,$49.68,"$85,640"
47-2121,Glaziers, 624 ,$30.16,$22.25,$27.76,$37.63,"$62,728"
45-2041,"Graders & Sorters, Agricultural Products",,$14.22,$9.61,$12.30,$18.65,"$29,580"
27-1024,Graphic Designers," 2,850 ",$29.35,$22.08,$28.26,$35.47,"$61,071"
51-4033,Grind/Lap/Polish/Buff Machine Setters/Oprs/Tenders, 710 ,$17.96,$14.05,$16.87,$19.33,"$37,364"
51-9022,"Grinding & Polishing Workers, Hand", 547 ,$15.77,$11.58,$14.57,$18.17,"$32,794"
37-3019,"Grounds Maintenance Workers, All Other", 28 ,$25.10,$23.37,$27.88,$29.52,"$52,196"
39-5012,"Hairdressers, Hairstylists & Cosmetologists"," 4,648 ",$18.64,$11.41,$14.82,$22.77,"$38,769"
47-4041,Hazardous Materials Removal Workers, 198 ,$30.85,$23.88,$29.73,$34.99,"$64,167"
17-2111,"Health & Safety Engineers, Except Mining", 191 ,$45.33,$38.54,$45.58,$53.06,"$94,299"
29-1199,"Health Diagnosing & Treating Practitioners, All Other", 646 ,$37.11,$27.36,$37.55,$45.85,"$77,183"
21-1091,Health Educators, 899 ,$26.95,$19.28,$24.65,$33.46,"$56,062"
25-1071,"Health Specialties Teachers, Postsecondary"," 3,131 ",,,,,"$137,819"
29-2099,"Health Technologists & Technicians, All Other"," 1,725 ",$27.12,$19.81,$26.07,$33.96,"$56,427"
29-9099,"Healthcare Practitioners & Technical Workers, All Other", 498 ,$29.85,$21.51,$26.34,$39.51,"$62,095"
21-1022,Healthcare Social Workers," 1,700 ",$28.32,$21.77,$27.96,$34.76,"$58,912"
31-9099,"Healthcare Support Workers, All Other"," 1,348 ",$18.95,$15.75,$18.39,$21.74,"$39,402"
29-2092,Hearing Aid Specialists, 86 ,$25.38,$21.18,$23.83,$28.51,"$52,787"
51-4191,"Heat Treating Equip Setters/Oprs/Tenders, Metal/Plastic",,$22.46,$13.57,$18.37,$32.45,"$46,728"
49-9021,Heating/Air Cond/Refrigeration Mechanics & Installers," 1,352 ",$30.84,$24.01,$29.29,$38.22,"$64,152"
53-1021,Helper/Laborer & Material Mover(hand) Supervisors," 1,569 ",$27.93,$19.48,$26.82,$34.45,"$58,083"
47-4051,Highway Maintenance Workers, 612 ,$24.83,$20.42,$25.06,$28.27,"$51,642"
25-1125,"History Teachers, Postsecondary", 166 ,,,,,"$72,367"
49-9031,Home Appliance Repairers, 504 ,$18.58,$14.27,$17.76,$22.52,"$38,647"
25-1192,"Home Economics Teachers, Postsecondary", 17 ,,,,,"$52,392"
31-1011,Home Health Aides," 4,455 ",$12.85,$10.82,$12.17,$14.06,"$26,732"
35-9031,"Hosts & Hostesses, Restaurant, Lounge & Coffee Shop"," 3,868 ",$11.89,$9.86,$11.13,$13.01,"$24,739"
43-4081,"Hotel, Motel & Resort Desk Clerks"," 1,721 ",$11.96,$10.31,$11.41,$13.19,"$24,873"
37-1011,Housekeeping & Janitorial Worker Supervisors," 1,097 ",$20.29,$15.62,$20.08,$23.79,"$42,213"
13-1071,Human Resource Specialists," 7,277 ",$36.40,$25.05,$33.97,$45.08,"$75,723"
43-4161,"Human Resources Assistants, Except Payroll & Timekeeping"," 1,184 ",$20.79,$17.36,$20.77,$23.73,"$43,251"
11-3121,Human Resources Managers," 2,012 ",$59.64,$44.98,$56.85,$71.04,"$124,049"
19-2043,Hydrologists, 146 ,$49.26,$38.86,$50.36,$57.80,"$102,451"
17-2112,Industrial Engineers," 5,587 ",,,,,
49-9041,Industrial Machinery Mechanics," 2,105 ",$29.71,$22.59,$28.27,$37.40,"$61,809"
11-3051,Industrial Production Managers," 1,573 ",$54.77,$40.98,$53.48,$67.78,"$113,930"
53-7051,Industrial Truck & Tractor Operators," 4,906 ",$21.49,$15.32,$19.88,$24.14,"$44,703"
43-4199,"Information & Record Clerks, All Other"," 1,268 ",$18.93,$15.54,$18.35,$22.44,"$39,355"
15-1122,Information Security Analysts," 1,446 ",$47.56,$40.13,$49.64,$56.10,"$98,913"
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers"," 7,354 ",$28.34,$19.38,$26.60,$38.59,"$58,932"
49-9098,"Installation, Maintenance & Repair Helpers", 759 ,$17.91,$13.36,$17.79,$21.93,"$37,238"
49-9099,"Installation, Maintenance & Repair Workers, All Other"," 1,174 ",$24.39,$17.49,$24.55,$30.53,"$50,715"
25-9031,Instructional Coordinators, 969 ,$30.65,$24.91,$29.95,$35.32,"$63,748"
47-2131,"Insulation Workers, Floor, Ceiling & Wall",,$19.85,$14.46,$17.89,$22.98,"$41,295"
47-2132,"Insulation Workers, Mechanical", 535 ,$22.55,$16.98,$21.10,$27.58,"$46,899"
13-1032,"Insurance Appraisers, Auto Damage", 77 ,$32.38,$27.14,$32.92,$37.35,"$67,338"
43-9041,Insurance Claims & Policy Processing Clerks," 3,018 ",$19.74,$16.23,$19.17,$22.97,"$41,049"
41-3021,Insurance Sales Agents," 3,743 ",$33.24,$17.66,$25.29,$41.90,"$69,135"
13-2053,Insurance Underwriters," 1,419 ",$39.03,$30.80,$36.30,$46.29,"$81,188"
27-1025,Interior Designers," 1,339 ",$25.96,$19.99,$24.69,$29.44,"$53,994"
29-1063,"Internists, General", 267 ,,,,,"$206,921"
27-3091,Interpreters & Translators, 660 ,$22.15,$18.90,$22.23,$26.40,"$46,065"
43-4111,"Interviewers, Except Eligibility & Loan"," 3,247 ",$19.17,$15.88,$18.89,$22.24,"$39,862"
37-2011,"Janitors & Cleaners, Except Maids & Housekeeping "," 18,295 ",$14.58,$10.94,$13.87,$17.47,"$30,318"
51-9071,Jewelers & Precious Stone & Metal Workers, 174 ,$22.54,$17.76,$22.68,$27.37,"$46,891"
23-1023,"Judges, Magistrate Judges & Magistrates", 410 ,$46.20,$32.46,$37.37,$64.29,"$96,094"
23-1012,Judicial Law Clerks, 201 ,$25.21,$21.38,$23.71,$28.06,"$52,432"
25-2012,"Kindergarten Teachers, Except Special Education"," 1,484 ",,,,,"$55,018"
13-1075,Labor Relations Specialists," 1,083 ",$37.50,$27.91,$35.55,$45.26,"$78,005"
53-7062,"Laborers & Freight, Stock & Material Movers, Hand"," 22,849 ",$15.22,$11.36,$13.84,$17.56,"$31,659"
17-1012,Landscape Architects, 595 ,$31.09,$23.09,$31.73,$36.67,"$64,671"
37-3011,Landscaping & Groundskeeping Workers," 8,940 ",$16.58,$12.56,$14.44,$18.82,"$34,487"
37-1012,Landscaping/Lawn & Groundskeeping Worker Supervisors ," 1,013 ",$25.17,$20.99,$23.65,$27.98,"$52,349"
51-4034,"Lathe Tool Setters/Operators/Tenders, Metal/Plastic", 390 ,$18.16,$13.68,$17.53,$21.94,"$37,782"
51-6011,Laundry & Dry-Cleaning Workers," 1,391 ",$13.36,$10.79,$12.96,$15.44,"$27,797"
25-1112,"Law Teachers, Postsecondary", 135 ,,,,,"$103,536"
23-1011,Lawyers," 7,440 ",$63.99,$38.04,$57.81,$78.02,"$133,094"
51-4192,"Layout Workers, Metal & Plastic", 177 ,$30.14,$24.96,$28.46,$37.35,"$62,688"
43-6012,Legal Secretaries," 2,144 ",$24.79,$18.26,$24.94,$31.72,"$51,563"
23-2099,"Legal Support Workers, All Other", 418 ,$29.82,$22.19,$28.39,$37.63,"$62,024"
11-1031,Legislators, 113 ,,,,,"$82,324"
25-4021,Librarians," 1,551 ",$33.80,$30.57,$34.00,$37.40,"$70,298"
43-4121,"Library Assistants, Clerical", 823 ,$13.65,$12.14,$13.42,$14.68,"$28,395"
25-1082,"Library Science Teachers, Postsecondary", 64 ,,,,,"$92,981"
25-4031,Library Technicians," 1,155 ",$21.38,$18.67,$21.35,$23.75,"$44,493"
19-1099,"Life Scientists, All Other", 120 ,$41.96,$32.70,$34.50,$50.15,"$87,272"
19-4099,"Life, Physical & Social Science Technicians, All Other", 424 ,$25.01,$19.90,$24.18,$29.47,"$52,027"
33-9092,Lifeguards/Ski Patrol & Recreational Protective Svc Workers," 1,508 ",$12.06,$9.94,$10.98,$12.07,"$25,066"
43-4131,Loan Interviewers & Clerks," 2,375 ",$17.41,$13.26,$16.90,$21.34,"$36,229"
13-2072,Loan Officers," 3,254 ",$35.20,$22.70,$32.36,$43.80,"$73,239"
39-3093,"Locker Room, Coatroom & Dressing Room Attendants", 208 ,$12.28,$10.17,$11.43,$13.67,"$25,536"
53-4011,Locomotive Engineers,,$36.17,$25.59,$41.31,$45.56,"$75,234"
11-9081,Lodging Managers, 252 ,$26.24,$17.91,$24.05,$28.68,"$54,572"
45-4022,Logging Equipment Operators, 81 ,$24.36,$21.23,$24.79,$27.76,"$50,669"
53-7063,Machine Feeders & Offbearers, 346 ,$13.17,$11.17,$12.84,$14.55,"$27,400"
51-4041,Machinists," 4,922 ",$24.48,$17.81,$22.56,$29.28,"$50,912"
29-2035,Magnetic Resonance Imaging Technologists, 417 ,$39.32,$33.70,$41.46,$46.44,"$81,787"
37-2012,Maids & Housekeeping Cleaners," 6,418 ",$12.33,$10.24,$11.39,$13.92,"$25,659"
43-9051,"Mail Clerks & Mail Machine Oprs, Except Postal Service", 612 ,$17.50,$13.87,$17.18,$20.74,"$36,391"
49-9071,"Maintenance & Repair Workers, General"," 12,327 ",$21.35,$15.98,$20.25,$26.65,"$44,397"
49-9043,"Maintenance Workers, Machinery", 653 ,$24.93,$19.17,$23.42,$30.46,"$51,841"
13-1111,Management Analysts," 11,522 ",$51.11,$36.73,$48.37,$61.84,"$106,315"
11-9199,"Managers, All Other"," 4,469 ",$56.45,$40.61,$52.00,$67.72,"$117,418"
39-5092,Manicurists & Pedicurists," 2,395 ",$13.48,$10.55,$11.67,$16.35,"$28,029"
17-2121,Marine Engineers & Naval Architects, 467 ,$45.82,$36.75,$44.46,$52.81,"$95,303"
13-1161,Market Research Analysts & Marketing Specialists," 11,593 ",$41.00,$25.57,$36.81,$54.45,"$85,285"
11-2021,Marketing Managers," 3,922 ",$69.02,$49.83,$65.54,$83.30,"$143,558"
21-1013,Marriage & Family Therapists, 106 ,$22.28,$19.06,$22.06,$25.90,"$46,338"
31-9011,Massage Therapists," 2,376 ",$24.23,$16.03,$22.51,$33.00,"$50,398"
53-7199,"Material Moving Workers, All Other", 228 ,$26.61,$12.70,$23.86,$37.05,"$55,338"
15-2099,"Mathematical Science Occupations, All Other", 11 ,$48.66,$23.32,$63.10,$71.47,"$101,204"
25-1022,"Mathematical Science Teachers, Postsecondary", 379 ,,,,,"$85,650"
51-3022,"Meat, Poultry & Fish Cutters & Trimmers"," 1,850 ",$12.75,$10.27,$11.49,$14.43,"$26,535"
49-9011,Mechanical Door Repairers, 307 ,$20.93,$17.46,$21.07,$24.28,"$43,525"
17-3013,Mechanical Drafters," 1,907 ",$37.63,$30.05,$37.60,$45.33,"$78,278"
17-3027,Mechanical Engineering Technicians, 473 ,$31.13,$24.87,$30.64,$37.36,"$64,752"
17-2141,Mechanical Engineers," 3,905 ",$46.02,$34.78,$44.66,$55.90,"$95,729"
49-1011,"Mechanics, Installers & Repairers Supervisors"," 3,735 ",$35.07,$27.46,$34.32,$41.79,"$72,944"
27-4099,"Media & Communication Equipment Workers, All Other", 119 ,$30.09,$17.33,$28.33,$41.11,"$62,592"
27-3099,"Media & Communication Workers, All Other", 234 ,$27.70,$17.24,$24.69,$36.26,"$57,624"
29-2012,Medical & Clinical Laboratory Technicians," 1,439 ",$21.56,$17.61,$20.79,$23.85,"$44,838"
29-2011,Medical & Clinical Laboratory Technologists," 2,029 ",$32.85,$27.93,$32.70,$37.41,"$68,331"
11-9111,Medical & Health Services Managers," 3,562 ",$59.42,$40.96,$53.52,$68.80,"$123,593"
51-9082,Medical Appliance Technicians,,$17.50,$13.27,$14.40,$18.37,"$36,387"
31-9092,Medical Assistants," 5,927 ",$18.65,$16.09,$18.27,$21.36,"$38,789"
31-9093,Medical Equipment Preparers, 686 ,$18.12,$14.86,$17.51,$20.76,"$37,696"
49-9062,Medical Equipment Repairers, 723 ,$27.09,$20.87,$25.76,$32.77,"$56,343"
29-2071,Medical Records & Health Information Technicians," 2,379 ",$22.42,$16.93,$20.68,$26.73,"$46,632"
19-1042,"Medical Scientists, Except Epidemiologists"," 3,728 ",$39.15,$23.30,$30.19,$44.17,"$81,432"
43-6013,Medical Secretaries," 5,059 ",$21.20,$17.73,$20.96,$24.31,"$44,104"
31-9094,Medical Transcriptionists, 622 ,$22.26,$17.44,$23.55,$27.59,"$46,290"
13-1121,"Meeting,Convention & Event Planners",,$26.09,$19.59,$23.17,$30.73,"$54,257"
21-1023,Mental Health & Substance Abuse Social Workers," 1,042 ",$23.11,$17.27,$21.01,$29.47,"$48,072"
21-1014,Mental Health Counselors," 1,090 ",$21.25,$16.86,$20.72,$24.58,"$44,199"
27-1026,Merchandise Displayers & Window Trimmers," 1,829 ",$14.59,$11.45,$13.99,$16.85,"$30,358"
51-4199,"Metal Workers & Plastic Workers, All Other", 181 ,$17.57,$11.30,$15.24,$20.95,"$36,540"
51-4051,Metal-Refining Furnace Operators & Tenders, 25 ,$19.88,$15.53,$18.99,$23.33,"$41,344"
43-5041,"Meter Readers, Utilities", 144 ,$23.34,$20.39,$23.05,$26.63,"$48,539"
19-1022,Microbiologists, 356 ,$34.06,$25.54,$32.51,$39.64,"$70,846"
25-2022,Middle School Teachers (Except Special Ed & Vocational)," 3,539 ",,,,,"$63,028"
51-4035,"Milling/Planing Mach Setters, Oprs/Tenders, Metal/Plastic", 340 ,$22.65,$16.10,$20.95,$28.59,"$47,105"
49-9044,Millwrights, 217 ,$35.67,$24.53,$37.93,$44.11,"$74,191"
17-2151,Mining & Geological Engineers (Inc Mining Safety), 46 ,$47.79,$34.43,$42.75,$64.56,"$99,399"
51-9023,"Mixing & Blending Machine Setters, Operators & Tenders", 543 ,$17.50,$12.56,$15.08,$20.38,"$36,397"
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"," 1,067 ",$25.29,$18.29,$23.32,$31.36,"$52,611"
51-4061,"Model Makers, Metal & Plastic", 90 ,$34.01,$22.54,$39.98,$45.23,"$70,719"
51-4072,"Mold/Coremaking/Casting Mach Set/Oprs/Tend, Metal & Plastic", 922 ,$15.24,$12.39,$14.13,$17.28,"$31,695"
51-9195,"Molders, Shapers & Casters, Except Metal & Plastic", 268 ,$18.80,$13.98,$17.86,$23.50,"$39,105"
39-4031,"Morticians, Undertakers & Funeral Directors", 143 ,$23.11,$17.99,$22.40,$28.36,"$48,078"
39-3021,Motion Picture Projectionists, 26 ,$14.80,$9.60,$12.13,$16.69,"$30,778"
53-3099,"Motor Vehicle Operators, All Other", 163 ,$13.39,$9.51,$9.54,$15.46,"$27,837"
49-3051,Motorboat Mechanics & Service Technicians, 264 ,$24.37,$20.57,$24.67,$28.32,"$50,695"
53-5022,Motorboat Operators, 15 ,$31.78,$28.80,$31.51,$33.33,"$66,105"
49-3052,Motorcycle Mechanics,,$19.83,$14.64,$20.86,$24.41,"$41,233"
27-1014,Multimedia Artists & Animators," 1,793 ",$37.15,$24.80,$35.50,$46.92,"$77,275"
51-4081,"Multiple Machine Tool Setters/Oprs/Tenders, Metal/Plastic", 707 ,$19.00,$14.45,$17.32,$21.64,"$39,532"
25-4013,Museum Technicians & Conservators, 167 ,$20.39,$15.84,$19.88,$23.65,"$42,414"
27-2041,Music Directors & Composers, 152 ,$38.81,$22.17,$38.47,$58.44,"$80,742"
49-9063,Musical Instrument Repairers & Tuners,,$15.63,$11.05,$14.41,$18.84,"$32,492"
27-2042,Musicians & Singers, 663 ,,,,,
11-9121,Natural Sciences Managers," 1,043 ",,,,,"$161,637"
15-1142,Network & Computer Systems Administrators," 5,204 ",$42.82,$35.18,$42.95,$49.94,"$89,067"
43-4141,New Accounts Clerks, 495 ,$19.37,$17.07,$18.92,$21.68,"$40,288"
39-2021,Nonfarm Animal Caretakers," 2,529 ",$13.09,$10.46,$11.57,$13.96,"$27,232"
29-2033,Nuclear Medicine Technologists, 203 ,$43.29,$38.46,$43.20,$48.77,"$90,040"
29-1151,Nurse Anesthetists, 113 ,$71.08,$49.45,$71.33,$86.44,"$147,847"
29-1161,Nurse Midwives, 38 ,$44.54,$40.57,$44.30,$48.95,"$92,656"
29-1171,Nurse Practitioners," 1,137 ",$49.74,$43.40,$50.65,$56.85,"$103,445"
29-2061,"Nurses, Practical & Vocational (Licensed)"," 2,652 ",$26.31,$22.57,$25.97,$29.20,"$54,734"
31-1014,Nursing Assistants," 9,494 ",$15.57,$13.09,$15.14,$17.80,"$32,403"
25-1072,"Nursing Instructors & Teachers, Postsecondary", 555 ,,,,,"$74,040"
29-1064,Obstetricians & Gynecologists,,,,,,"$221,218"
29-9011,Occupational Health & Safety Specialists," 1,112 ",$38.87,$31.38,$40.18,$46.25,"$80,844"
29-9012,Occupational Health & Safety Technicians, 86 ,$27.32,$22.39,$26.58,$31.32,"$56,823"
29-1122,Occupational Therapists," 1,169 ",$40.60,$36.09,$41.58,$46.13,"$84,453"
31-2012,Occupational Therapy Aides, 20 ,$19.52,$16.44,$18.88,$22.42,"$40,588"
31-2011,Occupational Therapy Assistants, 144 ,$29.44,$26.41,$29.61,$33.59,"$61,239"
43-1011,Office & Administrative Support Worker Supervisors," 12,130 ",$28.94,$21.53,$27.14,$34.84,"$60,199"
43-9199,"Office & Administrative Support Workers, All Other"," 3,394 ",$18.38,$14.37,$17.74,$21.42,"$38,228"
43-9061,"Office Clerks, General"," 20,301 ",$16.51,$12.86,$15.63,$19.08,"$34,331"
43-9071,"Office Machine Operators, Except Computer", 652 ,$16.07,$12.92,$15.09,$18.78,"$33,448"
47-2073,Operating Engineers & Construction Equipment Operators," 2,703 ",$30.84,$27.23,$32.23,$35.58,"$64,137"
15-2031,Operations Research Analysts," 1,896 ",$43.88,$36.22,$43.37,$50.34,"$91,267"
51-9083,Ophthalmic Laboratory Technicians, 545 ,$17.28,$13.61,$16.53,$21.33,"$35,950"
29-2057,Ophthalmic Medical Technicians, 477 ,$21.43,$17.54,$20.85,$25.14,"$44,554"
29-2081,"Opticians, Dispensing", 554 ,$24.05,$21.27,$24.51,$27.60,"$50,019"
29-1041,Optometrists, 325 ,$48.97,$22.93,$49.56,$58.06,"$101,863"
43-4151,Order Clerks," 2,556 ",$17.80,$14.26,$17.40,$21.10,"$37,020"
31-1015,Orderlies, 155 ,$15.46,$12.73,$14.51,$17.83,"$32,158"
29-2091,Orthotists & Prosthetists, 84 ,$29.87,$23.11,$27.65,$36.92,"$62,136"
49-3053,Outdoor Power Equipment & Other Small Engine Mechanics, 118 ,$17.43,$12.89,$15.92,$21.30,"$36,254"
51-9111,Packaging & Filling Machine Operators & Tenders," 1,800 ",$14.78,$11.35,$13.64,$17.12,"$30,749"
53-7064,"Packers & Packagers, Hand"," 6,846 ",$14.00,$9.90,$12.59,$15.49,"$29,128"
47-3014,"Painter, Paperhanger, Plasterer & Stucco Mason Helpers", 243 ,$15.87,$14.08,$15.95,$17.68,"$33,006"
47-2141,"Painters, Construction & Maintenance"," 4,289 ",$21.42,$16.39,$18.97,$26.69,"$44,558"
51-9122,"Painters, Transportation Equipment"," 1,430 ",$27.94,$19.50,$25.65,$37.13,"$58,108"
51-9123,"Painting, Coating & Decorating Workers", 131 ,$24.38,$18.25,$22.06,$32.61,"$50,698"
51-9196,"Paper Goods Machine Setters, Operators & Tenders", 506 ,$18.59,$14.86,$17.75,$21.71,"$38,667"
23-2011,Paralegals & Legal Assistants," 2,999 ",$30.67,$25.42,$29.83,$35.68,"$63,809"
33-3041,Parking Enforcement Workers, 151 ,$25.00,$23.19,$25.91,$28.13,"$52,022"
53-6021,Parking Lot Attendants," 2,153 ",$11.82,$10.01,$11.12,$12.57,"$24,594"
41-2022,Parts Salespersons," 1,797 ",$19.40,$13.67,$19.30,$23.28,"$40,341"
47-2071,"Paving, Surfacing & Tamping Equipment Operators", 214 ,$23.02,$18.87,$22.39,$27.46,"$47,882"
43-3051,Payroll & Timekeeping Clerks," 1,763 ",$22.84,$19.36,$22.42,$26.76,"$47,514"
29-1065,"Pediatricians, General",,,,,,"$203,575"
39-9099,"Personal Care & Service Workers, All Other", 850 ,$11.51,$9.56,$9.76,$12.01,"$23,932"
39-9021,Personal Care Aides," 11,594 ",$12.28,$10.67,$11.73,$13.66,"$25,546"
13-2052,Personal Financial Advisors," 2,578 ",$58.96,$30.92,$45.84,$77.50,"$122,629"
39-1021,Personal Service Worker Supervisors," 1,742 ",$22.36,$16.56,$21.07,$27.42,"$46,494"
37-2021,Pest Control Workers, 342 ,$21.20,$16.93,$19.10,$23.19,"$44,113"
37-3012,"Pesticide Handlers, Sprayers & Applicators, Vegetation", 56 ,$16.92,$15.48,$17.01,$18.55,"$35,192"
29-1051,Pharmacists," 2,437 ",$58.92,$53.48,$60.04,$67.84,"$122,558"
31-9095,Pharmacy Aides, 518 ,$14.82,$12.49,$14.33,$17.12,"$30,829"
29-2052,Pharmacy Technicians," 3,495 ",$20.27,$17.19,$20.25,$23.04,"$42,151"
25-1126,"Philosophy & Religion Teachers, Postsecondary", 181 ,,,,,"$72,935"
31-9097,Phlebotomists, 769 ,$17.61,$15.43,$17.37,$19.65,"$36,613"
27-4021,Photographers, 855 ,$15.95,$9.78,$11.90,$18.03,"$33,167"
51-9151,Photographic Process Wrkrs & Processing Machine Oprs, 436 ,$16.59,$9.84,$13.78,$22.62,"$34,494"
19-2099,"Physical Scientists, All Other", 183 ,,,,,
31-2022,Physical Therapist Aides, 250 ,$13.85,$12.29,$13.62,$14.95,"$28,796"
31-2021,Physical Therapist Assistants, 566 ,$26.04,$20.25,$27.00,$32.90,"$54,158"
29-1123,Physical Therapists," 2,414 ",$41.22,$35.11,$41.18,$47.05,"$85,731"
29-1071,Physician Assistants, 782 ,$53.87,$46.91,$53.66,$60.95,"$112,064"
29-1069,"Physicians & Surgeons, All Other"," 2,366 ",,,,,"$202,865"
19-2012,Physicists, 264 ,$64.96,$38.51,$59.45,$84.84,"$135,132"
25-1054,"Physics Teachers, Postsecondary", 211 ,,,,,"$87,049"
47-2072,Pile-Driver Operators, 123 ,$34.26,$23.28,$39.32,$43.47,"$71,261"
47-3015,"Pipelayer, Plumber, Pipefitter & Steamfitter Helpers",,$26.30,$24.27,$26.50,$28.74,"$54,702"
47-2151,Pipelayers, 636 ,$26.05,$21.47,$25.92,$31.28,"$54,195"
51-8099,"Plant & System Operators, All Other",,$29.61,$26.97,$29.47,$32.48,"$61,589"
47-2161,Plasterers & Stucco Masons,,$31.49,$31.05,$33.83,$36.60,"$65,484"
51-4193,"Plating/Coating Machine Setters/Oprs/Tenders, Metal/Plastic", 197 ,$18.32,$13.98,$17.56,$22.27,"$38,107"
47-2152,"Plumbers, Pipefitters, & Steamfitters"," 4,170 ",$33.73,$23.37,$32.46,$43.24,"$70,146"
29-1081,Podiatrists,,$64.28,$60.14,$65.91,$71.64,"$133,692"
33-1012,Police & Detective Supervisors, 896 ,$51.73,$45.09,$51.82,$57.78,"$107,590"
33-3051,Police & Sheriff's Patrol Officers," 3,373 ",$39.42,$34.65,$39.89,$44.71,"$81,993"
43-5031,"Police, Fire & Ambulance Dispatchers", 698 ,$28.13,$25.16,$28.17,$32.13,"$58,524"
25-1065,"Political Science Teachers, Postsecondary", 269 ,,,,,"$85,559"
19-3094,Political Scientists, 81 ,$35.30,$24.96,$29.54,$42.25,"$73,421"
43-5051,Postal Service Clerks, 524 ,$25.58,$27.12,$27.12,$27.13,"$53,217"
43-5052,Postal Service Mail Carriers," 2,645 ",$25.99,$26.41,$27.91,$27.92,"$54,049"
43-5053,Postal Svc Mail Sorters/Processors/Processing Mach Oprs," 1,480 ",$25.21,$26.18,$26.60,$26.61,"$52,425"
11-9131,Postmasters & Mail Superintendents, 49 ,$38.61,$31.67,$37.85,$45.54,"$80,306"
25-1199,"Postsecondary Teachers, All Other", 569 ,,,,,"$76,717"
51-4052,"Pourers & Casters, Metal", 27 ,$21.26,$17.33,$20.96,$25.75,"$44,225"
51-8012,Power Distributors & Dispatchers, 113 ,$49.17,$42.06,$51.41,$56.56,"$102,271"
51-8013,Power Plant Operators, 116 ,$42.46,$40.81,$43.91,$47.00,"$88,317"
49-9069,"Precision Instrument & Equipment Repairers, All Other", 34 ,,,,,
51-5111,Prepress Technicians & Workers, 424 ,$19.91,$13.91,$20.00,$24.91,"$41,405"
25-2011,"Preschool Teachers, Except Special Education"," 4,263 ",$14.65,$11.68,$14.31,$17.25,"$30,470"
51-6021,"Pressers, Textile, Garment & Related Materials", 588 ,$14.49,$12.03,$14.82,$17.13,"$30,148"
51-5113,Print Binding & Finishing Workers, 368 ,$16.22,$12.36,$14.67,$19.15,"$33,741"
51-5112,Printing Press Operators," 1,454 ",$21.11,$17.06,$20.44,$25.09,"$43,909"
33-9021,Private Detectives & Investigators, 214 ,$25.41,$15.16,$22.36,$32.86,"$52,850"
21-1092,Probation Officers & Correctional Treatment Specialists, 561 ,$28.46,$25.20,$26.83,$30.96,"$59,196"
43-3061,Procurement Clerks, 419 ,$21.45,$18.03,$21.33,$25.10,"$44,632"
27-2012,Producers & Directors," 1,540 ",$33.37,$19.63,$29.14,$42.90,"$69,406"
51-1011,Production & Operating Worker Supervisors," 5,967 ",$35.28,$25.04,$34.47,$45.29,"$73,385"
