SOC code,Seattle-Bellevue-Everett WA MD occupational title, Estimated employment ,Average wage,25th percentile,50th percentile,75th percentile,Annual wage,,Index
51-3099,"Food Processing Workers, All Other",,$16.60,$11.85,$14.66,$21.05,"$34,540",,
19-1012,Food Scientists & Technologists, 68 ,$37.89,$31.78,$36.06,$45.49,"$78,814",,
35-3041,"Food Servers, Nonrestaurant"," 2,211 ",$13.40,$10.84,$11.86,$14.36,"$27,887",,
11-9051,Food Service Managers, 874 ,$31.05,$23.70,$29.33,$36.81,"$64,593",,
51-3091,Food/Tobacco Roasting/Baking/Drying Mach Oprs/Tenders, 76 ,$18.11,$14.04,$15.88,$19.28,"$37,674",,
25-1124,"Foreign Language & Literature Teachers, Postsecondary", 305 ,,,,,"$68,181",,
19-4092,Forensic Science Technicians, 172 ,$33.79,$29.73,$34.23,$38.18,"$70,277",,
19-4093,Forest & Conservation Technicians, 133 ,$18.51,$15.03,$16.82,$20.83,"$38,501",,
45-4011,Forest & Conservation Workers, 57 ,$17.04,$11.41,$14.10,$19.83,"$35,435",,
19-1032,Foresters, 73 ,$34.21,$26.81,$29.97,$36.41,"$71,138",,
51-4071,Foundry Mold & Coremakers,,$20.51,$17.87,$20.64,$23.36,"$42,667",,
13-1131,Fundraisers," 1,267 ",$29.44,$22.79,$28.39,$35.54,"$61,225",,
39-4021,Funeral Attendants, 115 ,$13.49,$10.84,$11.97,$16.54,"$28,052",,
11-9061,Funeral Service Managers,,$33.48,$25.63,$29.77,$38.56,"$69,634",,
51-9051,"Furnace/Kiln/Oven/Drier, Kettle Operators & Tenders", 96 ,$18.70,$14.31,$17.53,$22.19,"$38,900",,
51-7021,Furniture Finishers, 236 ,$17.68,$14.19,$16.40,$19.30,"$36,776",,
43-3041,Gaming Cage Workers, 120 ,$14.69,$11.44,$15.66,$17.74,"$30,572",,
41-2012,Gaming Change Persons and Booth Cashiers, 297 ,$13.56,$10.84,$12.91,$15.60,"$28,200",,
39-3011,Gaming Dealers," 2,894 ",$13.75,$10.08,$10.16,$13.30,"$28,606",,
11-9071,Gaming Managers, 84 ,$40.27,$27.11,$35.04,$47.04,"$83,756",,
39-1011,Gaming Supervisors, 203 ,$25.35,$20.94,$26.10,$29.76,"$52,734",,
33-9031,Gaming Surveillance Officers & Gaming Investigators, 144 ,$15.93,$12.59,$15.21,$18.76,"$33,136",,
11-1021,General & Operations Managers," 23,091 ",$66.80,$40.04,$57.75,$82.50,"$138,931",,
29-9092,Genetic Counselors, 42 ,$38.78,$33.69,$38.00,$44.50,"$80,677",,
25-1064,"Geography Teachers, Postsecondary", 42 ,,,,,"$84,910",,
19-4041,Geological & Petroleum Technicians,,$24.26,$21.02,$26.27,$28.96,"$50,460",,
19-2042,"Geoscientists, Except Hydrologists & Geographers", 746 ,$41.46,$27.38,$37.47,$52.11,"$86,236",,
47-2121,Glaziers," 1,351 ",$28.91,$21.22,$25.44,$35.63,"$60,128",,
45-2041,"Graders & Sorters, Agricultural Products",,$15.08,$11.31,$15.43,$18.29,"$31,369",,
25-1191,Graduate Teaching Assistants, 637 ,,,,,"$52,222",,
27-1024,Graphic Designers," 3,362 ",$29.42,$22.20,$28.63,$35.92,"$61,184",,
51-4033,Grind/Lapping/Polish/Buff Mach Setters/Oprs & Tenders , 554 ,$17.75,$13.72,$16.14,$19.01,"$36,929",,
51-9022,"Grinding & Polishing Workers, Hand", 218 ,$18.50,$15.22,$18.04,$21.58,"$38,491",,
37-3019,"Grounds Maintenance Workers, All Other", 37 ,$26.54,$25.04,$28.04,$30.29,"$55,199",,
39-5012,"Hairdressers, Hairstylists & Cosmetologists"," 4,984 ",$21.01,$13.12,$16.86,$26.12,"$43,695",,
47-4041,Hazardous Materials Removal Workers, 338 ,$27.70,$20.41,$28.10,$34.10,"$57,611",,
17-2111,"Health & Safety Engineers, Except Mining", 151 ,$45.55,$36.68,$44.21,$52.68,"$94,732",,
29-1199,"Health Diagnosing & Treating Practitioners, All Other", 776 ,$50.10,$27.32,$40.66,$51.29,"$104,200",,
21-1091,Health Educators, 602 ,$28.38,$20.20,$26.28,$35.32,"$59,027",,
25-1071,"Health Specialties Teachers, Postsecondary"," 3,295 ",,,,,"$160,837",,
29-2099,"Health Technologists & Technicians, All Other"," 1,018 ",$28.59,$21.88,$26.95,$34.45,"$59,452",,
29-9099,"Healthcare Practitioners & Technical Workers, All Other", 481 ,$31.98,$23.03,$28.07,$39.43,"$66,520",,
21-1022,Healthcare Social Workers," 1,463 ",$32.12,$25.81,$31.83,$39.58,"$66,814",,
31-9099,"Healthcare Support Workers, All Other"," 1,128 ",$21.33,$17.75,$21.04,$24.18,"$44,373",,
29-2092,Hearing Aid Specialists,,$22.56,$17.29,$19.79,$27.17,"$46,936",,
51-4191,"Heat Treating Equip Setters/Oprs/Tenders, Metal/Plastic", 92 ,$33.17,$22.30,$35.59,$41.66,"$68,988",,
49-9021,Heating/Air Cond/Refrigeration Mechanics & Installers," 1,475 ",$33.00,$27.45,$32.83,$38.82,"$68,637",,
53-1021,Helper/Laborer & Material Mover(hand) Supervisors," 1,601 ",$29.10,$20.22,$27.43,$35.59,"$60,527",,
47-4051,Highway Maintenance Workers, 611 ,$26.47,$21.27,$26.55,$30.34,"$55,053",,
25-1125,"History Teachers, Postsecondary", 183 ,,,,,"$75,523",,
49-9031,Home Appliance Repairers, 717 ,$19.16,$15.47,$18.45,$22.77,"$39,842",,
25-1192,"Home Economics Teachers, Postsecondary", 14 ,,,,,"$55,361",,
31-1011,Home Health Aides," 2,605 ",$12.99,$11.27,$12.44,$14.39,"$27,024",,
35-9031,"Hosts/Hostesses, Restaurant, Lounge & Coffee Shop"," 3,761 ",$12.28,$10.72,$11.64,$12.98,"$25,556",,
43-4081,"Hotel, Motel & Resort Desk Clerks"," 2,223 ",$12.99,$11.23,$12.64,$14.45,"$27,018",,
37-1011,Housekeeping & Janitorial Worker Supervisors," 1,045 ",$21.57,$17.18,$20.87,$24.74,"$44,876",,
43-4161,"Human Resources Assistants, Except Payroll & Timekeeping"," 1,168 ",$22.12,$19.09,$22.06,$24.68,"$46,000",,
11-3121,Human Resources Managers," 2,257 ",$61.61,$45.18,$57.44,$72.98,"$128,145",,
13-1071,Human Resources Specialists," 9,119 ",$35.60,$25.71,$32.83,$43.09,"$74,052",,
19-2043,Hydrologists, 169 ,$44.99,$35.84,$41.01,$54.58,"$93,578",,
17-2112,Industrial Engineers," 6,125 ",$52.18,$41.78,$51.65,$62.56,"$108,545",,
49-9041,Industrial Machinery Mechanics," 2,215 ",$30.58,$24.05,$29.21,$37.50,"$63,600",,
11-3051,Industrial Production Managers," 1,576 ",$63.53,$45.67,$59.99,$76.02,"$132,145",,
53-7051,Industrial Truck & Tractor Operators," 4,330 ",$23.05,$16.26,$20.69,$25.85,"$47,947",,
43-4199,"Information & Record Clerks, All Other"," 1,868 ",$20.01,$16.96,$19.84,$23.12,"$41,640",,
15-1122,Information Security Analysts," 1,308 ",$49.58,$39.79,$51.63,$59.85,"$103,127",,
51-9061,"Inspectors, Testers, Sorters, Samplers & Weighers"," 7,568 ",$29.40,$20.73,$27.09,$39.50,"$61,167",,
49-9098,"Installation, Maintenance & Repair Helpers", 880 ,$18.02,$14.02,$17.19,$21.67,"$37,471",,
49-9099,"Installation, Maintenance & Repair Workers, All Other"," 1,183 ",$24.67,$17.52,$23.05,$31.16,"$51,326",,
25-9031,Instructional Coordinators," 1,003 ",$33.82,$26.71,$32.52,$37.97,"$70,348",,
47-2131,"Insulation Workers, Floor, Ceiling & Wall", 406 ,$27.11,$17.23,$23.63,$38.63,"$56,388",,
47-2132,"Insulation Workers, Mechanical", 261 ,$28.33,$18.99,$25.42,$37.79,"$58,916",,
13-1032,"Insurance Appraisers, Auto Damage", 119 ,$33.74,$27.89,$34.09,$39.05,"$70,175",,
43-9041,Insurance Claims & Policy Processing Clerks," 2,073 ",$21.97,$17.79,$20.92,$24.88,"$45,694",,
41-3021,Insurance Sales Agents," 4,098 ",$34.16,$20.29,$25.30,$34.48,"$71,060",,
13-2053,Insurance Underwriters," 1,449 ",$40.53,$30.25,$37.75,$49.31,"$84,318",,
27-1025,Interior Designers," 1,257 ",$28.92,$22.09,$27.80,$33.82,"$60,141",,
29-1063,"Internists, General", 173 ,$112.92,$86.17,,,"$234,881",,
27-3091,Interpreters & Translators, 704 ,$18.85,$9.78,$20.23,$23.66,"$39,209",,
43-4111,"Interviewers, Except Eligibility & Loan"," 2,362 ",$17.98,$14.11,$18.20,$21.87,"$37,403",,
37-2011,"Janitors/Cleaners, Except Maids & Housekeeping "," 18,032 ",$15.82,$12.38,$15.16,$18.71,"$32,900",,
51-9071,Jewelers/Precious Stone & Metal Workers, 136 ,$27.15,$20.73,$26.47,$31.79,"$56,481",,
23-1023,"Judges, Magistrate Judges & Magistrates", 408 ,,,,,,,
23-1012,Judicial Law Clerks, 228 ,$27.63,$22.71,$24.94,$31.62,"$57,487",,
25-2012,"Kindergarten Teachers, Except Special Education"," 2,442 ",,,,,"$60,323",,
13-1075,Labor Relations Specialists," 1,169 ",$36.99,$26.48,$36.05,$43.87,"$76,940",,
53-7062,"Laborers/Freight, Stock & Material Movers, Hand"," 27,313 ",$16.35,$12.35,$14.77,$18.91,"$34,001",,
17-1012,Landscape Architects, 654 ,$37.79,$29.20,$36.68,$46.21,"$78,611",,
37-3011,Landscaping & Groundskeeping Workers," 8,206 ",$18.32,$13.91,$15.86,$21.20,"$38,118",,
37-1012,Landscaping/Lawn & Groundskeeping Worker Supervisors , 724 ,$25.36,$20.71,$23.85,$28.67,"$52,744",,
51-4034,"Lathe Tool Setters/Operators/Tenders, Metal/Plastic", 251 ,$20.58,$14.91,$19.00,$25.07,"$42,800",,
51-6011,Laundry & Dry-Cleaning Workers," 1,429 ",$14.10,$11.58,$13.66,$16.31,"$29,333",,
25-1112,"Law Teachers, Postsecondary", 155 ,,,,,"$108,200",,
23-1011,Lawyers," 7,592 ",$67.29,$41.55,$59.35,$80.32,"$139,967",,
51-4192,"Layout Workers, Metal & Plastic", 79 ,,,,,,,
43-6012,Legal Secretaries," 2,023 ",$26.82,$19.39,$26.56,$34.86,"$55,782",,
23-2099,"Legal Support Workers, All Other", 471 ,$32.63,$24.31,$29.74,$40.54,"$67,867",,
11-1031,Legislators, 190 ,,,,,"$64,287",,
25-4021,Librarians," 1,576 ",$34.87,$31.54,$35.03,$38.47,"$72,515",,
43-4121,"Library Assistants, Clerical", 974 ,$14.82,$12.86,$14.22,$15.76,"$30,806",,
25-1082,"Library Science Teachers, Postsecondary", 81 ,,,,,"$98,509",,
25-4031,Library Technicians," 1,327 ",$22.23,$19.37,$22.14,$24.89,"$46,227",,
19-1099,"Life Scientists, All Other", 117 ,$47.27,$33.50,$36.25,$67.22,"$98,317",,
19-4099,"Life, Physical & Social Science Technicians, All Other", 560 ,$25.09,$19.86,$24.31,$29.49,"$52,202",,
33-9092,Lifeguards/Ski Patrol & Recreational Protective Svc Workers," 1,437 ",$13.91,$11.10,$12.25,$15.91,"$28,935",,
43-4131,Loan Interviewers & Clerks," 1,783 ",$18.63,$13.63,$17.70,$23.56,"$38,761",,
13-2072,Loan Officers," 3,473 ",$37.31,$18.87,$32.02,$46.59,"$77,593",,
39-3093,"Locker Room, Coatroom & Dressing Room Attendants", 211 ,$13.58,$11.84,$13.37,$14.87,"$28,247",,
49-9094,Locksmiths & Safe Repairers, 83 ,$21.08,$10.42,$21.75,$28.45,"$43,846",,
53-4011,Locomotive Engineers,,$38.48,$27.23,$43.95,$48.48,"$80,038",,
11-9081,Lodging Managers, 346 ,$28.53,$19.00,$25.97,$30.92,"$59,338",,
45-4022,Logging Equipment Operators, 78 ,$26.34,$21.43,$26.83,$29.84,"$54,788",,
45-4029,"Logging Workers, All Other",,$21.68,$20.48,$22.11,$23.76,"$45,076",,
53-7063,Machine Feeders & Offbearers, 396 ,$15.60,$12.91,$15.08,$17.84,"$32,440",,
51-4041,Machinists," 6,069 ",$25.91,$19.36,$24.88,$30.26,"$53,908",,
29-2035,Magnetic Resonance Imaging Technologists, 428 ,$41.05,$35.79,$42.44,$47.72,"$85,386",,
37-2012,Maids and Housekeeping Cleaners," 7,190 ",$13.20,$11.20,$12.58,$14.77,"$27,446",,
43-9051,"Mail Clerks & Mail Machine Oprs, Except Postal Service", 494 ,$18.27,$14.49,$18.23,$22.02,"$37,995",,
49-9071,"Maintenance & Repair Workers, General"," 13,730 ",$22.24,$16.73,$20.89,$27.33,"$46,258",,
49-9043,"Maintenance Workers, Machinery", 703 ,$24.26,$18.27,$22.95,$29.26,"$50,475",,
13-1111,Management Analysts," 12,827 ",$54.22,$39.10,$52.10,$65.98,"$112,757",,
11-9199,"Managers, All Other"," 6,017 ",$63.24,$44.32,$57.31,$75.16,"$131,533",,
39-5092,Manicurists & Pedicurists," 2,465 ",$16.30,$12.68,$15.92,$19.49,"$33,906",,
17-2121,Marine Engineers & Naval Architects, 422 ,$43.92,$35.89,$42.89,$49.60,"$91,340",,
13-1161,Market Research Analysts & Marketing Specialists," 12,779 ",$41.40,$26.78,$37.23,$54.10,"$86,114",,
11-2021,Marketing Managers," 4,906 ",$72.64,$53.23,$68.98,$87.43,"$151,094",,
21-1013,Marriage & Family Therapists, 70 ,$21.80,$17.13,$20.97,$24.72,"$45,356",,
31-9011,Massage Therapists," 2,191 ",$28.39,$19.81,$28.65,$35.69,"$59,051",,
53-7199,"Material Moving Workers, All Other", 248 ,$25.45,$13.19,$23.32,$32.83,"$52,927",,
15-2099,"Mathematical Science Occupations, All Other", 24 ,$38.13,$14.94,$34.75,$67.01,"$79,310",,
25-1022,"Mathematical Science Teachers, Postsecondary", 455 ,,,,,"$87,694",,
51-3022,"Meat, Poultry & Fish Cutters/Trimmers"," 1,659 ",$14.32,$11.25,$12.77,$16.82,"$29,803",,
17-3013,Mechanical Drafters," 1,641 ",,,,,,,
17-3027,Mechanical Engineering Technicians, 463 ,$31.20,$25.07,$31.66,$37.70,"$64,900",,
17-2141,Mechanical Engineers," 4,807 ",$47.06,$34.47,$45.03,$57.26,"$97,871",,
49-1011,"Mechanics, Installers & Repairers Supervisors"," 4,327 ",$35.50,$26.46,$34.83,$43.68,"$73,847",,
27-4099,"Media & Communication Equipment Workers, All Other", 193 ,$35.57,$26.00,$36.39,$45.69,"$73,993",,
27-3099,"Media & Communication Workers, All Other", 183 ,$32.56,$22.04,$32.10,$43.48,"$67,715",,
29-2012,Medical & Clinical Laboratory Technicians," 1,669 ",$22.12,$17.41,$21.27,$24.62,"$46,014",,
29-2011,Medical & Clinical Laboratory Technologists," 1,618 ",$33.68,$27.96,$33.84,$39.26,"$70,064",,
11-9111,Medical & Health Services Managers," 2,773 ",$66.43,$45.90,$58.47,$77.63,"$138,186",,
51-9082,Medical Appliance Technicians, 61 ,$26.49,$23.57,$27.14,$29.71,"$55,113",,
31-9092,Medical Assistants," 5,683 ",$19.91,$17.31,$19.67,$22.77,"$41,394",,
31-9093,Medical Equipment Preparers, 648 ,$20.47,$16.78,$20.77,$24.15,"$42,586",,
49-9062,Medical Equipment Repairers, 617 ,$27.91,$20.00,$26.16,$35.63,"$58,056",,
29-2071,Medical Records & Health Information Technicians," 2,206 ",$23.32,$17.62,$22.17,$28.25,"$48,495",,
19-1042,"Medical Scientists, Except Epidemiologists"," 4,240 ",$41.28,$26.02,$34.22,$47.08,"$85,862",,
43-6013,Medical Secretaries," 4,408 ",$22.01,$18.48,$21.89,$25.16,"$45,796",,
31-9094,Medical Transcriptionists, 860 ,$22.80,$18.09,$21.69,$27.75,"$47,424",,
21-1023,Mental Health & Substance Abuse Social Workers," 1,051 ",$27.82,$18.69,$26.15,$33.11,"$57,852",,
21-1014,Mental Health Counselors," 1,522 ",$21.68,$16.11,$20.48,$25.23,"$45,103",,
27-1026,Merchandise Displayers & Window Trimmers," 1,334 ",$16.22,$11.50,$15.23,$18.44,"$33,751",,
51-4199,"Metal Workers & Plastic Workers, All Other", 232 ,,,,,,,
51-4051,Metal-Refining Furnace Operators & Tenders, 14 ,$21.28,$15.47,$18.39,$25.12,"$44,270",,
43-5041,"Meter Readers, Utilities", 125 ,$25.98,$22.43,$24.89,$29.04,"$54,036",,
19-1022,Microbiologists, 174 ,$34.93,$24.60,$33.26,$41.89,"$72,657",,
25-2022,Middle School Teachers (Except Special Ed & Vocational)," 3,654 ",,,,,"$63,796",,
51-4035,"Milling/Planing Mach Setters, Oprs/Tenders, Metal/Plastic", 198 ,$25.33,$18.57,$23.23,$31.66,"$52,683",,
49-9044,Millwrights, 256 ,$39.20,$30.17,$41.04,$47.32,"$81,540",,
17-2151,Mining & Geological Engineers (Inc Mining Safety), 64 ,$50.33,$35.55,$45.65,$68.28,"$104,676",,
51-9023,"Mixing & Blending Machine Setters,Operators & Tenders", 539 ,$20.69,$15.44,$19.25,$26.09,"$43,034",,
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"," 1,375 ",$26.10,$19.24,$24.54,$31.69,"$54,286",,
51-4061,"Model Makers, Metal & Plastic", 69 ,,,,,,,
41-9012,Models, 28 ,$16.53,$13.50,$14.93,$17.76,"$34,370",,
51-4072,"Mold/Coremaking/Casting Mach Set/Oprs/Tend, Metal/Plastic", 852 ,$16.93,$13.90,$16.48,$18.94,"$35,214",,
51-9195,"Molders, Shapers & Casters, Except Metal & Plastic", 214 ,$20.90,$16.19,$19.48,$26.36,"$43,463",,
39-4031,"Morticians, Undertakers & Funeral Directors", 123 ,$27.93,$22.58,$27.47,$31.67,"$58,096",,
39-3021,Motion Picture Projectionists, 24 ,$15.82,$11.77,$13.58,$16.16,"$32,900",,
53-3099,"Motor Vehicle Operators, All Other", 779 ,$16.26,$11.15,$14.71,$19.05,"$33,816",,
49-3051,Motorboat Mechanics & Service Technicians, 359 ,$25.97,$20.56,$25.64,$30.66,"$54,012",,
53-5022,Motorboat Operators,,$24.49,$21.44,$23.35,$25.43,"$50,935",,
49-3052,Motorcycle Mechanics, 95 ,$23.90,$21.11,$24.16,$27.94,"$49,704",,
27-1014,Multimedia Artists & Animators," 1,603 ",$37.51,$26.72,$37.76,$46.14,"$78,014",,
51-4081,"Multiple Machine Tool Setters/Oprs/Tenders, Metal/Plastic", 552 ,$21.40,$16.59,$18.91,$24.56,"$44,505",,
25-4013,Museum Technicians & Conservators, 130 ,$24.12,$19.37,$22.91,$27.51,"$50,166",,
27-2041,Music Directors & Composers, 115 ,$33.06,$19.93,$32.78,$43.33,"$68,768",,
49-9063,Musical Instrument Repairers & Tuners,,$17.38,$14.32,$17.16,$20.48,"$36,143",,
27-2042,Musicians & Singers, 601 ,$34.87,$25.28,$35.18,$43.56,,,
11-9121,Natural Sciences Managers," 1,107 ",$74.24,$52.88,$65.56,$92.08,"$154,400",,
15-1142,Network & Computer Systems Administrators," 6,405 ",$46.40,$35.91,$45.30,$55.12,"$96,515",,
43-4141,New Accounts Clerks, 252 ,$24.80,$18.26,$21.04,$24.74,"$51,596",,
39-2021,Nonfarm Animal Caretakers," 2,340 ",$14.14,$11.08,$12.15,$14.73,"$29,418",,
17-2161,Nuclear Engineers,,$55.12,$47.32,$55.72,$62.32,"$114,651",,
29-2033,Nuclear Medicine Technologists, 133 ,$45.64,$41.01,$45.87,$51.00,"$94,925",,
29-1151,Nurse Anesthetists,,$88.05,$82.39,$89.68,$96.97,"$183,156",,
29-1161,Nurse Midwives, 30 ,$48.58,$42.66,$48.56,$56.41,"$101,041",,
29-1171,Nurse Practitioners," 1,374 ",$52.84,$46.03,$53.96,$60.29,"$109,912",,
29-2061,"Nurses, Practical & Vocational (Licensed)"," 2,261 ",$26.51,$23.29,$26.59,$29.75,"$55,138",,
31-1014,Nursing Assistants," 10,508 ",$16.01,$13.73,$15.45,$18.10,"$33,311",,
25-1072,"Nursing Instructors & Teachers, Postsecondary", 562 ,,,,,"$80,464",,
29-1064,Obstetricians & Gynecologists,,$124.94,$96.70,,,"$259,863",,
29-9011,Occupational Health & Safety Specialists, 902 ,$40.42,$32.82,$39.75,$47.25,"$84,079",,
29-9012,Occupational Health & Safety Technicians, 97 ,$35.05,$26.12,$31.08,$44.05,"$72,900",,
29-1122,Occupational Therapists," 1,492 ",$40.24,$33.51,$39.15,$46.68,"$83,705",,
31-2012,Occupational Therapy Aides,,$11.24,$10.25,$10.95,$11.66,"$23,368",,
31-2011,Occupational Therapy Assistants, 107 ,$26.91,$23.32,$28.71,$31.95,"$55,980",,
43-1011,Office & Administrative Support Worker Supervisors," 13,905 ",$31.39,$23.56,$29.51,$37.71,"$65,279",,
43-9199,"Office & Administrative Support Workers, All Other"," 3,114 ",$19.23,$14.94,$18.78,$22.42,"$39,996",,
43-9061,"Office Clerks, General"," 28,848 ",$18.84,$14.55,$18.06,$22.57,"$39,190",,
43-9071,"Office Machine Operators, Except Computer", 511 ,$18.82,$16.49,$18.76,$22.00,"$39,149",,
47-2073,Operating Engineers & Construction Equipment Operators," 2,807 ",$31.80,$26.66,$33.16,$37.47,"$66,131",,
15-2031,Operations Research Analysts," 2,311 ",$44.75,$35.42,$43.88,$51.80,"$93,082",,
51-9083,Ophthalmic Laboratory Technicians,,$17.81,$13.48,$17.23,$21.92,"$37,031",,
29-2057,Ophthalmic Medical Technicians, 620 ,$23.05,$20.15,$22.44,$25.34,"$47,928",,
29-2081,"Opticians, Dispensing", 329 ,$25.78,$23.74,$26.79,$29.21,"$53,619",,
29-1041,Optometrists,,$46.73,$24.09,$53.06,$59.87,"$97,203",,
43-4151,Order Clerks," 2,325 ",$18.53,$14.45,$18.36,$22.39,"$38,546",,
31-1015,Orderlies, 240 ,$16.70,$13.46,$15.36,$19.09,"$34,749",,
29-2091,Orthotists & Prosthetists, 110 ,$33.38,$27.32,$30.83,$38.87,"$69,426",,
49-3053,Outdoor Power Equipment & Other Small Engine Mechanics,,$21.33,$15.61,$18.60,$25.44,"$44,363",,
51-9111,Packaging & Filling Machine Operators & Tenders," 1,870 ",$16.50,$13.18,$15.12,$18.97,"$34,315",,
53-7064,"Packers & Packagers, Hand"," 8,223 ",$13.58,$11.07,$12.17,$14.57,"$28,240",,
47-2141,"Painters, Construction & Maintenance"," 4,759 ",$21.73,$16.17,$19.64,$26.83,"$45,188",,
51-9122,"Painters, Transportation Equipment"," 1,618 ",$30.73,$22.33,$28.43,$39.11,"$63,914",,
51-9123,"Painting, Coating & Decorating Workers", 181 ,$19.34,$16.52,$18.44,$21.87,"$40,217",,
51-9196,"Paper Goods Machine Setters, Operators & Tenders", 430 ,$20.47,$16.82,$20.42,$23.65,"$42,585",,
23-2011,Paralegals & Legal Assistants," 3,199 ",$31.55,$25.47,$30.60,$37.42,"$65,629",,
33-3041,Parking Enforcement Workers, 128 ,$27.27,$26.37,$28.33,$30.29,"$56,730",,
53-6021,Parking Lot Attendants," 2,400 ",$13.05,$10.97,$11.90,$13.83,"$27,142",,
41-2022,Parts Salespersons," 1,750 ",$18.15,$12.25,$15.53,$22.39,"$37,750",,
47-2071,"Paving, Surfacing & Tamping Equipment Operators", 182 ,$29.30,$22.17,$28.33,$36.95,"$60,933",,
43-3051,Payroll & Timekeeping Clerks," 1,590 ",$24.70,$21.11,$24.42,$28.81,"$51,371",,
29-1065,"Pediatricians, General",,$111.03,$63.68,,,"$230,932",,
39-9099,"Personal Care & Service Workers, All Other", 953 ,$14.60,$11.06,$13.38,$16.18,"$30,363",,
39-9021,Personal Care Aides," 10,739 ",$13.29,$11.49,$12.86,$14.50,"$27,651",,
13-2052,Personal Financial Advisors," 2,541 ",$53.00,$28.09,$38.54,$70.67,"$110,236",,
39-1021,Personal Service Worker Supervisors," 2,054 ",$24.03,$17.06,$22.14,$29.45,"$49,971",,
37-2021,Pest Control Workers, 494 ,$22.86,$17.55,$20.83,$27.52,"$47,568",,
37-3012,"Pesticide Handlers, Sprayers & Applicators, Vegetation",,$19.93,$17.22,$18.84,$21.56,"$41,446",,
17-2171,Petroleum Engineers,,$65.50,$59.36,$66.12,$74.16,"$136,230",,
51-8093,Petroleum Pump System/Refinery Operators & Gaugers,,$18.55,$16.37,$17.57,$18.78,"$38,593",,
29-1051,Pharmacists," 2,601 ",$60.69,$54.70,$61.18,$70.55,"$126,225",,
31-9095,Pharmacy Aides, 563 ,$16.55,$12.89,$14.99,$19.29,"$34,420",,
29-2052,Pharmacy Technicians," 3,390 ",$21.16,$18.32,$21.29,$23.97,"$44,019",,
25-1126,"Philosophy & Religion Teachers, Postsecondary", 190 ,,,,,"$76,029",,
31-9097,Phlebotomists, 888 ,$18.84,$16.51,$18.45,$21.28,"$39,186",,
27-4021,Photographers, 866 ,$23.71,$16.11,$23.23,$29.65,"$49,305",,
51-9151,Photographic Process Workers & Processing Machine Oprs, 184 ,$20.64,$14.63,$20.75,$23.75,"$42,943",,
19-2099,"Physical Scientists, All Other", 152 ,$50.74,$43.96,$49.82,$58.10,"$105,537",,
31-2022,Physical Therapist Aides, 185 ,$14.91,$13.29,$14.61,$16.09,"$31,030",,
31-2021,Physical Therapist Assistants, 451 ,$29.10,$24.90,$29.61,$34.74,"$60,530",,
29-1123,Physical Therapists," 2,125 ",$43.39,$36.43,$42.74,$48.59,"$90,246",,
29-1071,Physician Assistants," 1,297 ",$56.34,$49.52,$56.53,$63.22,"$117,193",,
29-1069,"Physicians & Surgeons, All Other"," 3,552 ",$113.05,$81.37,,,"$235,145",,
19-2012,Physicists, 135 ,$52.56,$29.11,$45.43,$68.36,"$109,324",,
25-1054,"Physics Teachers, Postsecondary", 242 ,,,,,"$92,636",,
47-2072,Pile-Driver Operators, 51 ,$43.64,$41.11,$44.51,$47.90,"$90,773",,
47-3015,"Pipelayer, Plumber, Pipefitter & Steamfitter Helpers", 258 ,$20.44,$15.38,$19.10,$24.10,"$42,528",,
47-2151,Pipelayers, 519 ,$30.14,$25.09,$31.93,$36.39,"$62,676",,
51-8099,"Plant & System Operators, All Other", 30 ,$29.40,$26.81,$30.14,$32.41,"$61,167",,
47-2161,Plasterers & Stucco Masons,,$33.23,$30.92,$35.23,$38.25,"$69,137",,
51-4193,"Plating/Coating Machine Setters/Oprs/Tenders, Metal/Plastic", 314 ,$18.14,$12.10,$16.41,$25.45,"$37,746",,
47-2152,"Plumbers, Pipefitters, & Steamfitters"," 5,199 ",$32.84,$20.49,$29.21,$44.20,"$68,291",,
29-1081,Podiatrists, 30 ,,,,,,,
33-1012,Police & Detective Supervisors," 1,048 ",$54.37,$45.65,$54.60,$62.44,"$113,090",,
33-3051,Police & Sheriff's Patrol Officers," 3,891 ",$41.44,$36.16,$41.91,$47.66,"$86,178",,
43-5031,"Police, Fire & Ambulance Dispatchers", 528 ,$28.73,$24.36,$28.70,$33.82,"$59,754",,
25-1065,"Political Science Teachers, Postsecondary", 271 ,,,,,"$92,332",,
19-3094,Political Scientists, 80 ,$38.76,$28.27,$37.03,$46.69,"$80,616",,
43-5051,Postal Service Clerks, 587 ,$24.41,$18.78,$27.88,$27.89,"$50,779",,
43-5052,Postal Service Mail Carriers," 2,870 ",$25.22,$18.07,$29.37,$29.39,"$52,464",,
43-5053,Postal Svc Mail Sorters/Processors & Processing Mach Oprs," 1,456 ",$25.36,$26.81,$27.88,$27.89,"$52,750",,
11-9131,Postmasters & Mail Superintendents, 48 ,$40.61,$34.59,$39.73,$44.93,"$84,471",,
25-1199,"Postsecondary Teachers, All Other", 407 ,,,,,"$83,269",,
51-4052,"Pourers & Casters, Metal", 12 ,$20.34,$15.36,$19.13,$24.31,"$42,299",,
51-8012,Power Distributors & Dispatchers, 62 ,$53.44,$45.17,$55.31,$60.90,"$111,155",,
51-8013,Power Plant Operators, 85 ,$43.65,$42.30,$45.83,$49.36,"$90,786",,
49-9069,"Precision Instrument & Equipment Repairers, All Other",,$30.05,$26.77,$28.84,$30.92,"$62,505",,
